Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
803,587,611,530,982,419,667,329,640,697
802,593,610,535,981,418,667,328,639,707
801,594,610,538,979,417,665,330,642,711
801,593,610,536,979,417,665,330,641,707
803,587,611,530,982,415,666,327,641,699
804,581,612,525,982,413,667,326,641,689
804,576,613,521,982,412,668,325,642,683
805,575,614,519,982,411,668,324,644,681
806,580,615,523,984,413,669,325,646,687
805,584,612,528,983,414,667,327,643,694
802,584,609,529,979,414,665,326,641,696
801,583,609,529,978,414,665,325,640,696
801,587,608,531,979,414,664,325,638,700
801,589,609,531,978,416,664,325,638,704
800,590,609,531,978,416,664,325,637,703
799,591,608,534,978,416,664,325,636,705
799,592,607,534,977,416,664,326,637,707
798,592,607,535,976,416,663,325,637,708
798,592,607,537,976,415,663,325,639,711
797,593,606,539,975,416,664,326,638,712
796,594,605,541,973,417,663,326,637,713
795,594,604,541,973,419,663,326,636,714
795,594,604,540,974,419,662,326,636,715
796,595,604,540,973,420,662,327,636,715
795,596,604,540,973,419,662,327,635,716
794,597,604,541,973,419,662,327,634,717
794,598,603,542,972,419,661,328,634,718
794,597,603,542,972,418,661,328,634,718
794,597,604,541,972,418,662,327,636,717
796,597,605,542,973,417,662,327,636,717
795,596,604,541,973,417,662,326,635,715
795,594,604,539,973,415,662,326,635,712
797,596,605,541,973,417,663,327,636,713
798,599,607,543,975,419,664,328,639,716
798,598,607,544,974,416,664,328,640,715
798,595,607,541,973,414,665,325,641,715
798,595,607,542,973,414,663,326,640,716
798,596,607,542,974,414,664,326,640,716
797,594,606,540,975,413,664,326,638,712
798,591,607,536,973,412,663,324,636,706
799,592,607,537,973,413,663,324,637,708
800,595,608,540,974,416,664,328,640,711
800,599,611,545,976,418,664,329,643,717
801,604,608,551,974,420,663,331,643,727
798,618,607,569,966,420,656,337,649,752
802,636,613,587,964,426,650,349,658,778
817,647,625,611,959,430,641,360,686,793
833,649,636,620,961,422,630,373,710,802
841,650,645,625,961,415,631,370,725,809
853,662,655,640,963,413,637,371,742,832
862,678,664,666,966,416,636,381,758,855
871,696,673,686,966,422,636,388,769,873
873,710,677,695,968,428,638,395,770,883
875,715,677,698,974,435,646,400,771,887
879,712,682,702,974,436,648,401,780,887
888,713,691,705,980,438,652,403,793,890
901,711,704,712,982,434,650,409,811,890
913,705,716,714,992,424,653,408,827,888
917,707,721,713,996,419,658,404,829,889
922,713,728,712,1005,419,671,405,829,886
928,704,732,703,1012,417,678,400,831,879
934,693,738,696,1014,411,682,396,840,873
947,684,753,694,1018,407,686,392,860,867
969,676,777,697,1021,393,691,397,892,861
992,666,811,699,1025,389,704,405,932,847
1026,650,862,700,1025,379,727,426,978,834
1149,692,970,670,1181,378,896,385,1046,857
1133,706,950,680,1183,391,885,390,1024,871
1120,710,937,686,1175,400,871,390,1012,878
1118,707,929,686,1165,399,863,390,1009,873
1112,701,922,676,1160,402,856,390,1003,859
1097,689,904,658,1159,412,853,385,981,841
1058,679,867,633,1159,420,841,377,935,823
1028,675,835,625,1149,416,824,369,897,818
998,683,808,632,1134,416,805,370,867,830
971,697,783,643,1120,421,793,370,837,839
947,706,762,646,1116,432,787,371,809,839
924,714,741,647,1108,441,776,372,784,843
909,716,725,646,1099,447,769,372,762,843
905,710,717,641,1094,449,764,373,756,839
906,700,716,635,1087,443,755,371,756,831
906,689,713,623,1086,444,754,367,756,817
901,672,709,607,1086,445,755,359,747,794
899,658,707,592,1083,438,752,354,740,776
897,642,706,574,1085,432,752,347,736,761
897,635,703,568,1082,423,750,341,737,758
896,638,702,570,1081,418,746,339,738,764
