Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
974,487,749,504,1027,279,689,308,876,674
979,529,756,546,1030,298,689,325,887,734
987,577,768,596,1031,322,690,345,897,785
1005,614,784,630,1036,342,695,364,920,815
1019,622,794,645,1048,358,705,377,934,827
1024,642,802,661,1052,367,709,389,943,853
1037,674,821,698,1052,383,711,407,960,890
1050,699,829,728,1060,396,718,420,971,916
1051,717,830,741,1060,401,723,427,967,932
1055,728,836,753,1061,404,730,431,973,945
1062,737,845,764,1067,410,731,439,982,954
1061,735,844,760,1065,407,732,440,981,950
1056,729,839,755,1060,402,731,435,976,946
1055,726,838,754,1059,401,728,435,976,944
1057,723,841,752,1061,400,732,433,979,940
1057,723,841,752,1062,398,732,433,979,940
1056,723,840,752,1061,399,732,433,979,940
1056,723,840,752,1062,399,734,433,979,939
1057,724,841,753,1062,399,734,433,980,939
1056,725,840,754,1062,399,734,433,979,941
1055,727,838,754,1061,400,733,433,976,942
1055,727,837,753,1061,400,731,432,975,943
1055,726,836,752,1061,399,731,432,973,941
1053,726,835,751,1060,400,731,432,971,942
1053,726,835,751,1059,399,730,432,971,943
1053,726,835,751,1060,400,731,432,970,943
1053,726,834,751,1060,400,731,432,971,943
1054,725,835,751,1060,400,732,432,970,942
1054,725,835,751,1061,399,733,431,972,941
1054,725,835,751,1061,400,733,431,972,941
1054,725,835,751,1061,400,732,432,971,940
1053,724,834,751,1060,400,732,431,970,939
1053,724,834,750,1059,400,730,431,970,939
1053,725,834,751,1060,400,731,431,972,939
1055,726,837,752,1062,401,732,432,973,941
1055,728,838,753,1065,403,735,432,973,943
1055,730,838,756,1066,405,735,433,973,945
1055,730,837,755,1065,406,735,433,972,944
1055,729,837,753,1065,406,735,433,971,944
1055,729,836,752,1065,405,734,432,971,943
1054,728,837,754,1065,406,734,432,971,943
1054,728,837,753,1065,406,734,432,972,942
1055,727,836,752,1063,404,735,433,973,940
1054,727,835,752,1062,403,734,433,973,940
1054,726,836,752,1061,403,734,432,972,939
1054,727,836,752,1063,403,735,432,972,940
1054,727,836,753,1064,403,735,432,971,941
1054,727,835,752,1063,403,733,432,971,941
1053,727,835,752,1062,403,734,433,971,940
1054,726,835,751,1063,403,733,432,972,939
1054,726,835,752,1063,403,734,432,972,939
1054,726,835,752,1062,402,734,431,971,938
1054,724,834,751,1063,402,733,431,971,936
1053,723,835,750,1061,402,732,431,971,936
1053,723,835,750,1061,402,733,431,970,935
1055,723,836,750,1062,402,733,431,971,936
1055,726,837,752,1064,403,736,432,973,938
1055,727,836,752,1065,405,736,433,971,939
1053,726,835,752,1064,405,735,433,970,939
1054,724,835,750,1063,403,734,432,971,935
1054,722,835,748,1062,401,733,430,971,933
1053,722,835,748,1062,401,733,430,971,933
1053,723,834,749,1062,402,734,431,971,934
1054,723,835,748,1063,402,734,431,970,933
1055,722,836,748,1064,402,735,431,971,933
1055,723,836,749,1064,403,737,432,971,934
1054,724,835,750,1064,404,734,432,971,933
1053,721,835,747,1062,402,734,431,971,930
1053,718,835,744,1061,401,734,430,971,927
1053,718,835,744,1061,400,734,430,969,926
1053,719,834,745,1061,401,733,430,970,926
1054,717,836,744,1061,401,733,431,973,927
1055,718,837,746,1063,403,736,432,974,929
1055,719,837,747,1066,405,737,432,974,930
1055,720,836,745,1067,407,737,432,972,930
1054,721,835,746,1066,408,735,431,972,930
1054,720,835,745,1067,407,734,431,970,929
1054,720,835,745,1066,406,735,431,970,930
1054,720,835,745,1067,407,735,431,970,930
