Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
1061,508,864,528,1028,279,745,317,999,680
1061,508,864,528,1028,280,744,317,999,680
1062,507,866,528,1029,279,746,317,999,679
1063,508,867,530,1029,279,747,316,1000,681
1062,511,866,531,1028,279,746,317,999,683
1062,511,866,531,1028,279,746,317,999,683
1062,511,866,531,1028,279,746,317,999,684
1062,512,866,532,1028,279,747,317,1000,684
1062,512,866,532,1028,280,746,317,1000,684
1062,512,866,531,1028,279,746,316,999,683
1062,508,866,528,1027,279,746,316,999,680
1063,507,867,527,1027,279,745,316,1001,677
1062,508,866,528,1027,278,745,316,1000,680
1062,509,866,529,1028,279,745,316,1000,681
1061,508,867,530,1028,278,746,316,1000,682
1061,508,867,531,1028,279,746,317,1000,681
1061,508,867,531,1028,279,746,316,999,683
1062,511,867,532,1029,279,745,316,999,684
1062,511,867,533,1028,279,745,316,1000,685
1062,512,867,533,1028,279,746,316,999,685
1062,511,867,533,1029,279,746,316,1000,685
1062,511,867,533,1028,279,746,316,1000,685
1062,511,867,533,1028,280,747,317,1001,685
1062,511,867,532,1029,280,747,316,1000,685
1062,511,867,533,1029,279,746,317,1000,685
1063,511,868,532,1029,279,747,317,1001,685
1062,511,868,532,1030,279,746,316,1001,685
1062,511,868,532,1030,279,746,317,1001,685
1063,511,868,533,1030,279,746,317,1001,685
1063,511,868,532,1030,279,747,317,1001,684
1063,510,869,531,1030,280,747,317,1000,684
1063,510,869,532,1030,280,747,317,1001,684
1063,509,869,532,1029,281,746,317,1000,684
1063,510,868,532,1030,280,747,317,999,683
1063,509,869,531,1029,280,746,317,1000,684
1064,509,869,531,1030,279,747,317,1000,683
1062,509,868,531,1030,279,746,317,1000,683
1062,509,867,531,1030,279,745,317,999,684
1061,509,867,530,1029,279,744,317,999,682
1062,508,867,528,1029,279,744,317,1000,679
1062,507,867,528,1029,279,744,317,999,679
1062,507,868,529,1029,279,744,317,1000,679
1062,507,868,528,1029,279,745,317,1000,679
1063,509,868,530,1030,279,745,317,1000,681
1064,509,869,530,1030,279,745,317,1000,683
1063,509,868,530,1029,279,745,317,1001,683
1062,511,867,531,1029,279,745,317,1000,684
1062,511,867,532,1029,280,744,317,1000,684
1063,510,868,532,1030,280,745,317,1001,684
1063,509,869,531,1030,279,745,317,1001,684
1063,509,869,530,1030,280,745,317,1000,683
1062,507,868,529,1030,280,745,318,1000,681
1063,507,869,529,1030,280,745,317,1001,680
1064,509,870,531,1030,280,745,318,1001,683
1063,510,868,532,1030,281,745,318,1000,684
1063,512,867,533,1031,279,744,319,999,687
1056,531,858,543,1043,288,744,324,980,714
1042,553,846,559,1055,300,741,329,954,743
1017,576,823,562,1064,306,742,313,914,755
992,583,799,559,1064,309,742,298,880,754
976,581,783,552,1064,307,744,279,864,743
958,583,771,547,1064,310,750,268,839,740
938,597,750,552,1062,329,749,269,813,750
927,613,741,565,1059,342,752,274,798,768
920,627,737,576,1063,356,761,278,793,781
912,627,731,569,1065,362,763,277,778,773
909,627,729,566,1070,368,772,276,772,765
902,631,725,568,1071,378,774,281,763,763
897,629,720,564,1072,377,778,275,759,762
890,638,716,568,1071,383,780,276,748,768
880,643,708,574,1065,388,769,279,738,774
874,645,704,576,1064,389,770,276,732,776
864,641,695,565,1062,391,770,269,718,762
851,636,689,553,1060,399,771,267,703,743
837,635,683,546,1059,408,783,263,685,732
830,638,682,545,1060,416,792,262,679,728
820,639,679,542,1062,422,797,265,668,723
801,636,671,534,1055,422,802,259,652,717
789,635,657,536,1035,431,800,254,638,714
786,634,655,532,1021,443,797,255,635,719
805,596,655,520,1001,410,762,227,670,715
826,595,663,524,1010,400,754,227,694,723
849,595,674,536,1027,385,738,231,722,743
868,599,688,548,1036,378,736,237,748,751
890,596,706,556,1049,366,735,240,772,754
910,591,723,557,1054,352,730,246,793,757
925,586,736,560,1055,344,723,253,813,756
934,586,745,562,1060,334,722,254,822,757
940,582,753,559,1057,325,714,258,832,753
957,582,772,567,1068,325,726,258,857,752
982,584,803,572,1081,313,743,260,889,755
1020,582,841,583,1088,300,756,269,933,758
1046,581,867,586,1094,294,770,277,958,760
1057,583,882,594,1089,289,773,284,970,767
1061,587,886,599,1091,289,774,288,973,771
1069,578,895,592,1090,277,775,290,985,761
1085,554,915,583,1084,262,777,298,1014,746
1094,544,926,576,1080,252,778,298,1028,736
1101,536,935,571,1078,245,780,296,1038,727
1107,527,946,570,1075,241,778,301,1051,723
1143,524,965,517,1155,279,849,314,1056,688
1133,530,956,516,1155,282,848,309,1043,685
1132,519,951,503,1153,286,841,303,1045,670
1137,511,955,500,1153,288,838,302,1054,668
1137,512,954,501,1155,289,837,305,1053,669
1137,521,955,509,1153,285,840,305,1050,680
1138,524,955,513,1149,281,839,310,1049,685
1135,525,953,513,1152,285,843,308,1047,684
1128,528,947,511,1152,289,837,305,1035,681
1126,523,942,501,1152,293,834,303,1032,672
1123,521,939,497,1153,293,832,298,1027,669
1122,522,936,498,1152,294,828,298,1029,670
1121,523,937,505,1154,295,828,303,1029,680
1119,525,935,512,1154,299,828,308,1028,684
