Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
1250,584,1076,673,1158,307,856,450,1240,797
1258,581,1088,674,1157,308,853,462,1255,796
1272,582,1099,675,1186,309,861,468,1271,802
1280,588,1115,695,1178,310,851,486,1289,816
1267,602,1095,703,1176,317,827,490,1271,829
1263,605,1091,696,1174,317,834,487,1256,830
1252,610,1073,691,1175,321,835,480,1229,838
1255,625,1076,710,1158,329,834,494,1237,853
1255,637,1076,727,1180,346,829,510,1235,871
1251,636,1068,721,1175,339,817,490,1222,870
1244,639,1056,716,1169,343,810,492,1212,870
1252,636,1061,703,1181,357,829,495,1215,861
1245,639,1051,697,1186,358,825,490,1201,860
1245,646,1047,700,1188,358,826,479,1194,868
1248,650,1048,701,1192,360,828,482,1194,870
1252,656,1051,708,1198,364,830,482,1198,884
1265,671,1062,722,1209,365,836,490,1205,894
1264,669,1061,714,1216,365,845,483,1204,892
1196,550,987,575,1213,265,856,360,1108,745
1168,549,958,570,1207,271,838,348,1077,748
1149,550,938,565,1209,282,830,335,1051,748
1135,557,923,564,1207,300,827,327,1031,752
1115,571,906,568,1205,319,824,329,1008,762
1084,577,882,568,1184,327,810,330,973,761
1048,588,850,564,1163,338,800,319,939,760
1029,592,833,565,1148,350,799,314,919,765
1011,610,821,576,1148,372,792,325,894,778
999,626,805,589,1131,398,784,338,881,796
980,628,794,588,1119,407,776,333,865,792
952,616,771,574,1102,411,763,318,834,776
939,603,760,558,1088,405,764,300,816,757
927,598,752,548,1081,401,761,296,805,746
875,576,699,584,964,338,692,307,788,752
878,570,701,578,965,331,689,309,789,746
881,560,701,570,966,314,691,303,791,735
891,556,707,564,969,315,695,306,798,728
894,541,707,553,973,303,702,299,797,715
894,536,704,549,975,302,698,300,793,711
894,542,705,549,983,305,697,299,791,716
893,551,705,553,982,306,701,298,789,727
893,563,705,563,979,311,695,305,795,740
895,570,709,574,977,313,696,305,801,747
897,574,710,576,981,314,701,305,804,752
895,577,710,580,978,315,700,306,803,754
898,575,713,580,979,314,703,305,806,751
903,574,718,575,988,312,708,300,810,749
901,577,716,580,983,314,707,303,808,753
901,576,716,578,985,313,710,300,809,753
902,576,718,577,987,311,710,295,810,755
900,573,717,576,987,312,709,295,808,752
897,571,714,572,985,312,710,294,804,748
895,572,713,571,986,313,713,293,800,750
893,574,713,575,984,315,714,292,799,753
896,572,714,572,986,315,716,293,801,751
897,571,715,571,986,313,719,291,803,750
897,573,716,571,987,315,718,294,803,750
897,571,715,571,987,314,720,293,802,747
896,571,714,568,989,315,722,292,799,745
896,573,714,571,989,316,721,293,800,748
896,573,713,570,989,316,721,293,799,747
894,574,713,570,988,316,721,292,797,747
894,573,712,571,985,314,720,292,797,748
896,575,713,572,986,316,720,293,801,751
897,576,714,573,988,317,721,293,801,752
896,577,713,574,987,317,721,293,800,752
896,575,714,573,987,317,722,292,801,751
898,574,715,570,988,315,722,291,803,750
897,574,715,572,990,316,724,290,803,749
898,573,716,571,990,316,724,290,803,749
899,574,717,571,991,315,725,289,803,748
897,575,715,573,990,316,724,290,802,749
897,575,715,573,989,316,723,290,802,749
896,575,714,572,989,316,722,290,801,750
896,575,714,573,989,316,722,291,801,750
897,574,714,572,989,316,722,290,802,751
897,575,715,572,989,315,723,290,803,751
897,573,715,573,989,315,724,290,802,748
898,571,716,571,990,313,725,288,801,745
899,570,716,569,991,313,726,288,801,744
896,570,714,569,991,312,725,287,798,744
896,571,713,568,990,314,724,288,795,745
893,573,711,572,989,317,722,292,794,747
887,575,706,573,983,326,716,297,787,749
878,585,701,572,984,350,703,312,771,751
892,584,715,600,979,359,700,305,822,762
901,583,721,602,988,356,696,313,827,762
908,578,722,595,1003,350,698,313,827,760
907,583,723,599,1002,354,695,317,829,765
907,586,724,600,1002,357,696,318,829,769
908,590,724,603,1002,357,698,318,829,774
908,594,725,607,1002,364,699,320,830,779
909,594,726,608,1002,363,699,319,831,777
911,593,727,607,1004,363,704,318,831,776
910,593,727,607,1004,364,704,318,831,774
910,593,727,607,1003,363,705,317,831,775
909,599,727,610,1001,366,703,318,831,782
908,599,726,610,1001,367,703,318,831,782
909,597,727,608,1003,366,704,317,832,780
907,596,726,608,1000,365,704,317,831,782
907,599,725,609,998,367,702,319,831,783
908,600,726,611,999,368,704,319,833,784
908,597,726,607,1000,367,706,317,831,782
907,598,725,608,999,367,706,318,830,782
908,598,726,608,1001,368,707,318,830,781
909,597,727,607,1002,367,708,316,830,778
908,597,726,607,1000,367,707,317,829,780
907,598,726,609,1000,367,706,317,829,780
907,599,725,609,1000,368,706,317,828,781
907,597,725,608,1000,368,706,316,828,780
906,598,725,609,1001,367,707,316,828,782
906,600,724,610,998,369,707,317,828,783
906,599,725,610,999,368,708,317,829,782
907,597,725,608,1000,367,708,316,830,780
907,596,726,607,1002,367,709,315,829,778
908,596,727,607,1002,366,709,314,829,777
908,596,727,607,1002,366,710,314,829,777
907,597,725,607,1001,367,708,315,827,778
906,598,725,608,1001,367,708,315,827,779
905,595,724,607,1001,367,708,316,824,777
894,596,715,607,997,374,701,322,810,777
888,595,709,601,981,379,687,332,799,774
886,584,708,585,986,366,695,317,790,757
878,572,701,569,983,361,692,311,783,741
846,614,676,624,932,380,653,327,781,793
854,620,680,630,944,382,662,324,786,800
853,627,679,634,947,385,665,323,783,807
842,626,671,631,934,382,664,322,767,805
841,618,668,617,939,384,672,316,764,797
840,621,666,617,937,388,670,317,764,799
842,617,668,616,940,387,675,317,766,794
842,617,667,617,940,388,675,317,766,794
841,619,667,618,940,392,675,316,765,795
841,619,667,618,940,392,674,316,763,794
840,617,666,618,940,391,676,316,761,794
840,620,666,619,939,393,677,315,762,797
841,622,667,616,939,393,678,316,763,800
842,621,668,618,941,392,679,317,764,800
842,615,669,615,944,388,680,316,765,790
841,616,668,616,943,389,680,314,762,790
841,615,667,617,943,386,682,313,762,790
841,614,667,617,942,385,681,313,761,789
842,615,669,615,946,385,683,314,762,788
842,616,667,617,944,385,681,316,762,788
841,616,667,616,945,386,681,315,762,789
841,615,667,619,944,387,681,315,761,790
841,614,667,618,944,385,680,314,762,789
842,614,667,615,945,386,681,313,763,788
843,613,668,614,946,386,682,314,764,788
841,617,667,617,944,391,681,317,763,792
841,617,668,616,946,390,682,314,764,791
841,616,668,616,943,390,681,314,763,791
841,616,668,616,943,390,680,316,763,792
842,615,668,615,945,389,682,315,764,790
843,615,669,614,948,388,684,313,763,789
842,615,668,614,948,387,685,313,761,788
842,614,667,612,951,387,686,312,760,787
838,615,664,615,946,391,683,316,755,789
829,618,659,613,936,402,670,324,740,788
822,499,642,472,971,348,700,255,689,631
823,508,640,481,970,353,699,258,692,640
822,508,640,479,970,355,700,261,690,636
822,500,641,472,972,354,701,261,688,628
822,498,639,470,975,355,705,255,687,624
821,501,640,471,975,357,706,257,682,627
821,502,640,473,974,357,705,260,680,628
821,500,641,468,977,357,709,255,678,619
819,506,639,470,972,361,700,259,677,629
819,501,639,468,975,360,701,259,677,626
819,501,638,467,976,360,703,258,675,626
820,515,639,484,973,367,703,261,680,644
820,515,640,483,973,365,704,260,682,646
820,516,640,483,975,365,705,259,683,647
821,517,640,484,973,367,704,260,681,648
821,518,640,485,975,367,704,261,682,648
820,517,640,483,973,366,704,261,682,647
819,515,640,480,972,364,703,261,680,644
819,512,640,478,974,363,705,262,681,635
820,505,639,470,976,359,707,259,676,627
819,507,639,471,976,360,706,258,672,629
818,514,639,479,975,363,705,260,676,642
818,518,639,482,975,365,705,261,676,645
748,678,565,656,914,432,648,346,634,851
836,506,648,514,922,305,667,289,740,665
846,483,650,500,932,292,669,282,741,636
852,489,661,497,946,296,677,275,745,646
857,500,665,506,948,299,677,278,751,659
861,512,669,524,943,300,667,287,760,675
869,516,676,531,944,302,665,293,775,682
878,515,683,532,948,302,666,295,786,679
881,506,686,524,953,300,667,298,785,669
885,504,688,518,961,302,675,292,787,666
887,505,688,519,963,303,677,292,789,666
888,496,690,509,965,300,677,291,787,656
890,482,690,495,966,291,677,289,786,634
889,468,686,481,969,288,679,286,781,615
886,457,683,466,967,283,679,282,772,596
885,450,684,456,971,282,677,277,771,589
887,451,684,456,972,282,675,277,771,590
885,460,685,469,971,282,675,278,773,608
882,475,684,482,970,287,673,281,774,629
883,485,687,495,970,291,673,285,776,642
884,491,686,500,972,296,674,288,779,651
886,490,690,498,974,296,676,289,782,646
887,485,689,488,974,293,679,287,777,637
886,485,688,489,974,294,680,288,774,639
885,487,687,492,973,298,679,288,775,641
885,487,687,491,974,298,679,288,775,640
885,485,686,489,971,297,679,289,771,634
887,479,685,481,973,294,679,286,771,624
885,470,685,469,976,293,685,282,767,609
881,463,680,455,977,293,688,278,756,594
874,458,675,444,980,294,689,271,737,584
869,455,673,437,978,293,688,266,729,578
865,460,671,439,978,294,690,264,726,588
863,465,668,449,975,293,690,265,728,599
864,473,669,459,974,295,689,268,731,614
865,484,669,473,975,298,689,270,733,625
864,487,668,475,975,303,690,272,734,624
865,481,671,466,976,301,690,271,730,619
863,482,669,465,976,302,691,270,725,619
861,486,667,468,974,304,689,272,722,622
860,489,666,472,975,305,690,272,724,625
861,488,667,472,974,303,690,273,724,626
860,488,666,473,973,303,690,274,727,627
862,488,668,471,974,305,690,273,727,626
864,486,671,468,976,304,692,272,728,620
865,482,671,463,977,303,694,271,727,614
864,476,670,456,977,302,692,270,723,610
863,479,670,455,976,303,693,270,723,611
865,481,670,461,976,303,693,271,729,614
865,483,671,465,975,303,692,272,731,619
864,485,670,469,974,304,691,272,731,621
866,485,670,470,976,304,691,273,731,622
866,483,672,466,979,306,692,273,732,620
860,488,667,469,977,304,698,271,723,626
852,488,662,468,977,308,705,268,716,630
797,541,614,542,919,356,659,280,697,700
