Reyex,Reyey,Leyex,Leyey,Rearx,Reary,Learx,Leary,nosex,nosey
996,398,782,388,1061,239,727,217,889,533
996,399,783,388,1061,240,728,217,889,534
996,399,783,389,1062,240,728,217,890,534
996,400,783,389,1062,240,728,217,889,536
996,400,784,389,1061,240,728,217,890,536
996,400,783,389,1061,240,728,217,889,536
995,400,783,390,1060,240,727,217,889,537
994,400,782,390,1060,240,727,217,889,537
994,400,782,390,1060,240,726,217,888,537
995,399,783,390,1059,240,726,217,889,537
996,399,784,389,1060,239,727,218,889,535
997,399,785,389,1061,240,728,218,890,536
996,398,785,389,1061,240,729,218,892,535
996,397,785,388,1061,239,728,218,892,535
996,397,785,388,1060,239,728,217,891,534
996,398,785,389,1060,239,728,218,891,537
996,398,785,390,1060,239,727,218,889,537
996,400,784,390,1059,240,727,218,888,538
996,399,784,389,1058,240,727,218,889,535
997,397,785,389,1059,239,728,218,889,536
997,399,785,391,1059,239,728,219,891,538
997,402,785,393,1060,240,728,218,893,542
995,402,784,393,1059,240,727,218,892,543
995,402,783,394,1059,240,726,218,892,543
995,403,784,396,1058,240,726,219,892,546
995,406,783,397,1059,241,726,219,892,548
994,405,783,397,1058,241,725,219,892,546
994,403,783,395,1057,240,725,219,891,545
995,404,783,396,1057,241,725,219,892,545
995,405,784,397,1057,241,725,220,893,546
995,404,784,396,1058,241,726,219,893,546
995,403,784,396,1058,240,726,219,893,546
994,404,783,397,1058,241,726,218,892,548
994,404,783,397,1057,241,725,218,892,548
995,404,784,397,1057,241,725,218,893,547
995,404,785,397,1057,241,725,219,893,545
996,402,785,397,1057,241,726,219,893,543
996,401,785,395,1058,241,726,219,894,542
997,403,786,396,1059,241,727,219,896,546
996,402,785,396,1058,241,726,219,894,545
997,404,786,397,1058,240,727,219,895,547
998,404,787,398,1059,241,727,219,897,550
998,407,787,399,1059,242,728,220,897,552
998,408,787,400,1060,242,728,220,895,553
997,407,786,401,1059,241,727,220,894,554
996,409,785,402,1058,241,726,220,894,554
996,410,785,402,1058,242,726,220,893,555
996,410,785,404,1058,242,726,221,893,557
995,411,785,405,1058,242,726,221,893,557
995,411,784,405,1057,242,725,221,893,557
994,411,783,405,1057,242,724,221,893,558
994,412,784,406,1057,242,725,221,893,558
993,413,784,408,1056,241,725,221,892,563
993,441,785,444,1053,244,716,234,901,614
998,482,802,489,1051,256,710,257,916,659
1009,498,816,506,1060,256,720,263,925,678
1002,516,811,516,1060,254,729,256,914,702
1002,527,813,527,1061,260,737,250,913,716
1003,543,815,542,1064,267,743,254,908,730
997,566,809,564,1064,277,741,263,901,752
993,589,804,585,1060,297,742,282,898,769
992,604,804,600,1058,311,747,289,900,785
993,605,804,600,1057,316,750,293,898,781
991,598,802,592,1058,312,748,291,894,775
989,599,799,592,1054,322,747,303,890,774
990,596,798,591,1053,324,747,305,893,774
980,595,789,586,1050,323,738,303,884,772
966,588,775,580,1045,319,733,291,869,765
869,580,692,535,1004,329,720,257,744,723
852,569,678,520,1003,333,724,249,719,705
839,555,664,501,1000,335,723,243,699,689
829,543,654,494,992,321,711,238,691,681
824,540,651,488,985,312,704,234,688,680
816,537,645,486,978,311,703,231,677,671
802,525,634,469,967,307,701,226,656,648
797,511,628,453,968,310,703,221,645,628
789,496,623,437,967,309,699,217,634,614
786,491,618,435,965,310,691,216,636,614
786,495,619,436,964,311,688,214,639,620
786,508,618,452,958,316,684,212,643,641
784,526,618,471,952,318,682,218,641,666
772,555,613,492,944,336,685,229,631,692
754,583,603,512,936,355,690,236,616,714
733,602,589,528,919,364,684,249,598,730
841,573,655,548,948,325,642,275,733,738
870,571,681,552,961,322,659,275,769,739
900,572,709,559,990,319,674,279,803,744
921,574,726,565,1000,316,679,289,825,748
937,578,742,576,1004,315,684,302,845,752
951,569,755,577,1001,311,685,307,866,745
967,554,769,568,1012,303,690,308,884,731
979,538,783,558,1018,301,696,311,903,714
990,531,791,547,1029,297,703,309,913,705
1009,529,813,547,1039,293,706,310,939,703
1036,529,848,560,1041,287,717,325,983,702
1054,533,873,573,1042,290,727,342,1012,709
