scorer,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000,DLC_resnet50_marsJul9shuffle1_500000
bodyparts,nose,nose,nose,ear1,ear1,ear1,ear2,ear2,ear2,neck,neck,neck,hip1,hip1,hip1,hip2,hip2,hip2,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
23,144.18821716308594,243.56744384765625,1.0,155.41407775878906,226.24522399902344,1.0,124.0395278930664,234.81170654296875,1.0,136.23072814941406,212.37802124023438,1.0,161.4334259033203,179.78536987304688,1.0,127.42350769042969,169.42208862304688,1.0,158.3260040283203,140.18765258789062,1.0
24,161.84307861328125,241.9325714111328,1.0,168.027587890625,223.5033721923828,1.0,141.0078887939453,237.8099822998047,1.0,145.57833862304688,212.02969360351562,1.0,164.42706298828125,178.96713256835938,1.0,129.74717712402344,170.3429718017578,1.0,155.4486846923828,137.80679321289062,1.0
25,175.3531036376953,236.52627563476562,1.0,176.2731475830078,220.79139709472656,1.0,154.3094024658203,239.3235321044922,1.0,153.63157653808594,212.90591430664062,1.0,167.11514282226562,178.6549072265625,1.0,130.82321166992188,173.2615203857422,1.0,154.89974975585938,138.09654235839844,1.0
26,190.5885009765625,234.7715301513672,1.0,185.14010620117188,218.1863250732422,1.0,169.58724975585938,241.19810485839844,1.0,164.17877197265625,213.53067016601562,1.0,168.91427612304688,177.51390075683594,1.0,129.97291564941406,175.5637664794922,1.0,151.9420623779297,138.10037231445312,1.0
27,205.2922821044922,231.62440490722656,1.0,197.84349060058594,216.41067504882812,1.0,182.43226623535156,241.25442504882812,1.0,174.75936889648438,214.6857452392578,1.0,172.6773681640625,175.70252990722656,1.0,131.9635009765625,182.60809326171875,1.0,147.505859375,141.5027313232422,1.0
28,218.34913635253906,230.4721221923828,1.0,212.12396240234375,213.19532775878906,1.0,198.1047821044922,240.5010986328125,1.0,186.618408203125,214.79861450195312,1.0,176.6695556640625,176.149658203125,1.0,139.26490783691406,189.71334838867188,1.0,144.13780212402344,149.1460418701172,1.0
29,228.97750854492188,227.9555206298828,1.0,222.71734619140625,211.58497619628906,1.0,208.73573303222656,238.60971069335938,1.0,196.36268615722656,213.94305419921875,1.0,182.1747283935547,176.719970703125,1.0,146.36151123046875,197.20704650878906,1.0,142.99191284179688,156.69203186035156,1.0
30,237.512939453125,230.71311950683594,1.0,230.00164794921875,209.69342041015625,1.0,217.53428649902344,238.53134155273438,1.0,204.09060668945312,213.50238037109375,1.0,184.8980255126953,176.92881774902344,0.9982376098632812,159.9720458984375,200.51806640625,0.9963633418083191,145.22377014160156,163.68905639648438,1.0
31,243.31561279296875,226.35633850097656,1.0,232.9346923828125,210.56039428710938,1.0,223.52615356445312,241.0924072265625,1.0,209.71292114257812,215.65232849121094,1.0,185.24525451660156,176.67971801757812,0.9999970197677612,162.0743865966797,209.0380401611328,0.9999901056289673,145.19358825683594,168.01119995117188,1.0
32,246.43853759765625,213.08221435546875,1.0,234.63748168945312,206.38217163085938,1.0,236.75692749023438,236.72021484375,1.0,213.5845947265625,217.01417541503906,1.0,187.12509155273438,182.1954803466797,1.0,166.65576171875,214.4814910888672,0.9999995231628418,145.83670043945312,177.06591796875,1.0
