1.562049935181330795e+01,2.280350850198275836e+01,1.992485884517127559e+01,2.282542442102665348e+01,4.579301256742124338e+01,3.992492955535426091e+01,3.689173349139343117e+01,3.807886552931954327e+01,2.994655456403509497e+00,9.135267249381451293e-01,1.147640407516314465e+00
1.476482306023340030e+01,2.109502310972898798e+01,1.941648783894759944e+01,2.154065922853801496e+01,4.716990566028302112e+01,4.049691346263317371e+01,3.689173349139343117e+01,3.807886552931954327e+01,2.878654816596744936e+00,8.351551762933560052e-01,1.247407324929390882e+00
1.615549442140351033e+01,1.969771560359220786e+01,1.941648783894759944e+01,2.024845673131658685e+01,4.860041152089146976e+01,3.956008088970496317e+01,3.635931792539568619e+01,3.827531841800927737e+01,2.868982833609171390e+00,8.325853316284722583e-01,1.245012057568722907e+00
1.788854381999831844e+01,2.308679276123039159e+01,1.923538406167134340e+01,2.061552812808830382e+01,4.920365840057017692e+01,4.177319714841084419e+01,3.667424164178449786e+01,3.801315561749642313e+01,2.884917326819802064e+00,8.426877115041591093e-01,1.268443691754008729e+00
1.964688270438849926e+01,2.202271554554523902e+01,2.002498439450078749e+01,2.121320343559642652e+01,4.879549159502340672e+01,4.044749683231336945e+01,3.900000000000000000e+01,3.982461550347975532e+01,2.728330527078489887e+00,7.831610306642377006e-01,1.309092654335694661e+00
1.700000000000000000e+01,1.900000000000000000e+01,2.158703314492290204e+01,2.209072203437452231e+01,5.240229002629560995e+01,4.104875150354758517e+01,3.716180835212409050e+01,3.820994634908559817e+01,2.667679704698696419e+00,7.782490448036344377e-01,1.386123824180440334e+00
1.802775637731994607e+01,2.002498439450078749e+01,2.184032966784155505e+01,2.300000000000000000e+01,5.403702434442518410e+01,4.341658669218482203e+01,3.613862199918530393e+01,3.748332962798262713e+01,2.711640151935003740e+00,8.658691746629092467e-01,1.372213354085308534e+00
2.002498439450078749e+01,2.137755832643194864e+01,2.088061301782110135e+01,2.200000000000000000e+01,5.385164807134503917e+01,4.753945729601885262e+01,3.805259518088089266e+01,3.773592452822641263e+01,2.838212735750312632e+00,9.409929913744780050e-01,1.286662428269030878e+00
2.009975124224177989e+01,2.319482700948640286e+01,2.154065922853801496e+01,2.501999200639360765e+01,5.189412298131648527e+01,5.092150822589606207e+01,4.418144406874904462e+01,3.847076812334268681e+01,2.894654169356216222e+00,1.032829949341356190e+00,1.174069211336010055e+00
2.109502310972898798e+01,2.319482700948640286e+01,2.340939982143925135e+01,2.601922366251537611e+01,5.462600113499065202e+01,4.976946855251721757e+01,3.905124837953326988e+01,3.624913792078371699e+01,2.968053174353600276e+00,1.086594583623943677e+00,1.156039389699694331e+00
1.824828759089465890e+01,2.308679276123039159e+01,2.154065922853801496e+01,2.400000000000000000e+01,4.846648326421053810e+01,5.069516742254630515e+01,4.257933771208753626e+01,3.546829570193639825e+01,3.009137026155201955e+00,1.057818007760560342e+00,1.151237775192162527e+00
2.000000000000000000e+01,2.319482700948640286e+01,2.213594362117865444e+01,2.408318915758459156e+01,4.884669896727925220e+01,5.462600113499065202e+01,4.396589587396121601e+01,3.764306044943742080e+01,2.992032913716090370e+00,1.024278387663269951e+00,1.175853818102271298e+00
